name,apirest_id,original_id,latitude,longitude
Confluencia Saldan-Suquía,200000000000000004100,4100,-31.32416,-64.3061
Chateau,200000000000000004200,4200,-31.36611,-64.25166
Pan de Azúcar,200000000000000004050,4050,-31.23333,-64.41888
Los Arroyitos,200000000000000005000,5000,-31.48194,-64.81916
Estancia Noble AgriculturaCba,100000000000000030535,30535,-32.0993833,-65.0543317
El Diquecito,200000000000000004400,4400,-31.35361,-64.39331
IBAT San José - Villa del Rosario AgriculturaCba,100000000000000030559,30559,-31.566864,-63.523446
Capilla Buffo,200000000000000004500,4500,-31.19444,-64.36441
Las Junturas Cosquín,200000000000000003900,3900,-31.20929,-64.48675
Ipea 403- Las Varas,100000000000000025011,25011,-31.804,-62.618297
Conf. Saldan,200000000000000004103,4103,-31.3242,-64.30667
COSAG,200000000000000003803,3803,-31.69426,-64.53461
Camino de Las Sierras,200000000000000004700,4700,-31.44694,-64.3472
Carape,200000000000000004350,4350,-30.98313,-64.38486
Puesto López,200000000000000004000,4000,-31.60055,-65.03527
Toro Pujio AgriculturaCba,100000000000000030158,30158,-31.1084,-62.9898
El Diquecito,200000000000000004403,4403,-31.88966,-65.34328
Villa del Dique AgriculturaCba,100000000000000030131,30131,-32.1706,-64.453
Dique La Quebrada,200000000000000004603,4603,-31.14958,-64.34218
Capilla de los Remedios,200000000000000004900,4900,-31.4375,-63.83191
Vicuña Makena,900000000000000000151,DEM_VMAKEN13,-33.9310750833333,-64.3830160555555
Villa Allende,900000000000000000152,DEM_VALLEN13,-31.3006904444444,-64.2819309166667
Fábrica Militar 2,900000000000000000069,UNDEFINED,-32.1602965555556,-64.1407440833333
Nacimiento Río Chocancharava (Río IV),200000000000000005300,5300,-32.91861,-64.51081
Villa de las Rosas,900000000000000000153,DEM_VROSAS13,-31.9483571111111,-65.0517541666667
Falda del Cañete,900000000000000000070,DEM_FCANIE13,-31.5227746944444,-64.4637327777778
Santo Tomás,200000000000000000100,100,-31.56527,-64.82637
Candonga,200000000000000005900,5900,-31.09437,-64.34521
Los Chañaritos,200000000000000005200,5200,-33.31527,-64.82415
Nacimiento Río Cuarto,200000000000000005303,5303,-32.90138,-64.51231
Ea. La Paz - Ascochinga,200000000000000006000,6000,-30.96506,-64.24218
Villa El Chacay - Río La Tapa AgriculturaCba,100000000000000030560,30560,-32.752455,-64.883646
APRHi - Río Cuarto - Puente Malvinas Argentinas,100000000000000030227,30227,-33.093817,-64.35947
Las Vertientes,200000000000000005700,5700,-33.23666,-64.58776
FIAT,900000000000000000002,DEM_FIAT66,-31.460655,-64.120695
Puesto Garay,200000000000000000900,900,-31.41527,-64.73527
APRHi - Río Saladillo - Puente RP 6,100000000000000030504,30504,-32.931762,-62.332002
San Francisco,900000000000000000023,DEM_SANFCO132,-31.435556,-62.071389
Río Cuarto,900000000000000000021,DEM_RIOCUA13,-33.1612,-64.357
Piedra Blanca,200000000000000005400,5400,-32.90055,-64.77803
Cuatro Vientos,200000000000000005500,5500,-33.07555,-64.56525
Achiras,200000000000000005600,5600,-33.17166,-64.99886
Arroyo Del Gato,200000000000000005800,5800,-33.49277,-64.58776
INTA - Manfredi,200000000000000006600,6600,-31.85722,-63.74858
Afisa,900000000000000000027,DEM_AFISA13,-30.9405398888889,-62.0505513888889
Monte Cristo,900000000000000000003,DEM_MCRISTNVA13,-31.360775,-63.973436
13 de Julio,900000000000000000024,UNDEFINED,-32.1612741388889,-64.1536371388889
Villa María,900000000000000000022,DEM_VMARIA13,-32.3272222222222,-63.23
Jardin,900000000000000000005,DEM_JARDIN13,-31.458109,-64.170575
Monte Cristo,100000000000000030007,30007,-31.3609,-63.9694
Bower,900000000000000000004,DEM_BOWER13,-31.501778,-64.207009
Interfabricas,900000000000000000006,DEM_INTERFA13,-31.46701,-64.125284
Malagueño,900000000000000000007,DEM_MALAGUE13,-31.483064,-64.349079
APRHi - Canal 3 MD,100000000000000030172,30172,-30.657406,-64.875028
Villa El Chacay - Río Colecitas AgriculturaCba,100000000000000030561,30561,-32.79504,-64.960858
Pampayasta Norte AgriculturaCba,100000000000000030055,30055,-32.2405,-63.6426
Huanchilla AgriculturaCba,100000000000000030108,30108,-33.6665,-63.6395
APRHi - Río Carcaraña - Puente RP 12 Inriville,100000000000000030230,30230,-32.93112,-62.167862
Yocsina,900000000000000000008,DEM_YOCSIN13,-31.443999,-64.368261
Norte,900000000000000000009,DEM_NORTE13,-31.373466,-64.165815
Achiras,900000000000000000025,UNDEFINED,-33.2116841666667,-65.0852940555556
Nueva Córdoba,900000000000000000013,DEM_NVACBA13,-31.431342,-64.19028
Morteros 132,900000000000000000111,DEM_MORNVA132,-30.71695,-62.0054111111111
Alejandro Roca,900000000000000000028,DEM_ALEROC13,-33.3246944722222,-63.7125786111111
Guiñazu,900000000000000000012,DEM_GUINIA13,-31.333299,-64.165527
Rodriguez del Busto,900000000000000000001,DEM_RBUSTO13,-31.358295,-64.217556
Sur,900000000000000000018,DEM_SUR13,-31.438845,-64.170733
Noetinger,900000000000000000112,DEM_NOETIN13,-32.3708700833333,-62.3052711111111
Centro,900000000000000000011,DEM_CENTRO13,-31.414228,-64.175229
Adelia Maria,900000000000000000026,DEM_ADEMARI13,-33.6340914722222,-64.0133104166667
Abasto,900000000000000000010,DEM_MABAST13,-31.389886,-64.100661
Alejo Ledesma,900000000000000000029,DEM_ALEDES13,-33.5787812222222,-62.6162237222222
Tablada,900000000000000000019,DEM_TABNVA13,-31.407975,-64.185424
Freyre AgriculturaCba,100000000000000030128,30128,-31.1782,-62.1061
Escuela Champaqui,200000000000000001570,1570,-31.991949,-64.909003
Confluencia Malambo,200000000000000001010,1010,-31.49833,-64.67914
EPEC Mendiolaza,100000000000000030604,30604,-31.26473,-64.27085
Tancacha AgriculturaCba,100000000000000030401,30401,-32.2531,-63.9823
La Cumbrecita AgriculturaCba,100000000000000030061,30061,-31.9014,-64.7689
APRHi - Canal Iglesia Vieja,100000000000000030185,30185,-30.6582,-65.260033
APRHi - Cuenca Letanias -Los Vallecitos,100000000000000030430,30430,-32.3602,-64.8555
Devoto AgriculturaCba,100000000000000030157,30157,-31.4042,-62.3265
Calasanz,900000000000000000014,DEM_CALASA_13,-31.417667,-64.198788
Suroeste,900000000000000000020,DEM_SUROES13,-31.462599,-64.238466
Oliva,900000000000000000113,DEM_OLIVA66,-32.0267810833333,-63.5493621388889
Almafuerte,900000000000000000030,UNDEFINED,-32.2066737777778,-64.3170160555556
Alta Gracia,900000000000000000031,DEM_AGRACI13,-31.6650581944444,-64.4236988333333
Oncativo,900000000000000000114,DEM_ONCATI13,-31.9192582222222,-63.6838475833333
Don Bosco,900000000000000000015,DEM_DBOSCO13,-31.375669,-64.25787
